longitude,latitude,value
3.7500,61.4500,7.1538
3.9167,61.4500,7.0843
4.0833,61.4500,7.0301
4.2500,61.4500,6.9898
4.4167,61.4500,6.9587
4.5833,61.4500,6.9351
4.7500,61.4500,6.9146
-1.5833,61.3500,8.1326
-1.4167,61.3500,8.1583
-1.2500,61.3500,8.1840
-1.0833,61.3500,8.2070
-0.9167,61.3500,8.2251
-0.7500,61.3500,8.2390
-0.5833,61.3500,8.2487
-0.4167,61.3500,8.2536
-0.2500,61.3500,8.2553
-0.0833,61.3500,8.2550
0.0833,61.3500,8.2531
0.2500,61.3500,8.2510
0.4167,61.3500,8.2494
0.5833,61.3500,8.2485
0.7500,61.3500,8.2491
0.9167,61.3500,8.2515
1.0833,61.3500,8.2538
1.2500,61.3500,8.2536
1.4167,61.3500,8.2482
1.5833,61.3500,8.2354
1.7500,61.3500,8.2113
1.9167,61.3500,8.1728
2.0833,61.3500,8.1187
2.2500,61.3500,8.0500
2.4167,61.3500,7.9654
2.5833,61.3500,7.8670
2.7500,61.3500,7.7575
2.9167,61.3500,7.6430
3.0833,61.3500,7.5275
3.2500,61.3500,7.4153
3.4167,61.3500,7.3106
3.5833,61.3500,7.2166
3.7500,61.3500,7.1346
3.9167,61.3500,7.0658
4.0833,61.3500,7.0103
4.2500,61.3500,6.9697
4.4167,61.3500,6.9378
4.5833,61.3500,6.9127
4.7500,61.3500,6.8905
-1.7500,61.2500,8.1857
-1.5833,61.2500,8.2035
-1.4167,61.2500,8.2193
-1.2500,61.2500,8.2366
-1.0833,61.2500,8.2522
-0.9167,61.2500,8.2636
-0.7500,61.2500,8.2716
-0.5833,61.2500,8.2761
-0.4167,61.2500,8.2766
-0.2500,61.2500,8.2743
-0.0833,61.2500,8.2707
0.0833,61.2500,8.2656
0.2500,61.2500,8.2607
0.4167,61.2500,8.2561
0.5833,61.2500,8.2519
0.7500,61.2500,8.2492
0.9167,61.2500,8.2481
1.0833,61.2500,8.2465
1.2500,61.2500,8.2422
1.4167,61.2500,8.2325
1.5833,61.2500,8.2152
1.7500,61.2500,8.1866
1.9167,61.2500,8.1439
2.0833,61.2500,8.0866
2.2500,61.2500,8.0159
2.4167,61.2500,7.9308
2.5833,61.2500,7.8329
2.7500,61.2500,7.7253
2.9167,61.2500,7.6136
3.0833,61.2500,7.5016
3.2500,61.2500,7.3929
3.4167,61.2500,7.2919
3.5833,61.2500,7.2011
3.7500,61.2500,7.1216
3.9167,61.2500,7.0534
4.0833,61.2500,6.9970
4.2500,61.2500,6.9564
4.4167,61.2500,6.9244
4.5833,61.2500,6.8988
4.7500,61.2500,6.8761
-1.9167,61.1500,8.2364
-1.7500,61.1500,8.2458
-1.5833,61.1500,8.2532
-1.4167,61.1500,8.2593
-1.2500,61.1500,8.2686
-1.0833,61.1500,8.2771
-0.9167,61.1500,8.2824
-0.7500,61.1500,8.2852
-0.5833,61.1500,8.2854
-0.4167,61.1500,8.2826
-0.2500,61.1500,8.2776
-0.0833,61.1500,8.2721
0.0833,61.1500,8.2655
0.2500,61.1500,8.2601
0.4167,61.1500,8.2545
0.5833,61.1500,8.2488
0.7500,61.1500,8.2444
0.9167,61.1500,8.2410
1.0833,61.1500,8.2367
1.2500,61.1500,8.2293
1.4167,61.1500,8.2164
1.5833,61.1500,8.1955
1.7500,61.1500,8.1635
1.9167,61.1500,8.1179
2.0833,61.1500,8.0582
2.2500,61.1500,7.9863
2.4167,61.1500,7.9012
2.5833,61.1500,7.8043
2.7500,61.1500,7.6991
2.9167,61.1500,7.5905
3.0833,61.1500,7.4818
3.2500,61.1500,7.3764
3.4167,61.1500,7.2788
3.5833,61.1500,7.1907
3.7500,61.1500,7.1132
3.9167,61.1500,7.0453
4.0833,61.1500,6.9871
4.2500,61.1500,6.9459
4.4167,61.1500,6.9131
4.5833,61.1500,6.8862
4.7500,61.1500,6.8622
4.9167,61.1500,6.8410
-2.2500,61.0500,8.2812
-2.0833,61.0500,8.2855
-1.9167,61.0500,8.2867
-1.7500,61.0500,8.2861
-1.5833,61.0500,8.2834
-1.4167,61.0500,8.2802
-1.2500,61.0500,8.2815
-1.0833,61.0500,8.2828
-0.9167,61.0500,8.2820
-0.7500,61.0500,8.2801
-0.5833,61.0500,8.2768
-0.4167,61.0500,8.2718
-0.2500,61.0500,8.2658
-0.0833,61.0500,8.2601
0.0833,61.0500,8.2544
0.2500,61.0500,8.2501
0.4167,61.0500,8.2453
0.5833,61.0500,8.2397
0.7500,61.0500,8.2350
0.9167,61.0500,8.2308
1.0833,61.0500,8.2248
1.2500,61.0500,8.2155
1.4167,61.0500,8.2004
1.5833,61.0500,8.1771
1.7500,61.0500,8.1428
1.9167,61.0500,8.0954
2.0833,61.0500,8.0345
2.2500,61.0500,7.9620
2.4167,61.0500,7.8773
2.5833,61.0500,7.7815
2.7500,61.0500,7.6785
2.9167,61.0500,7.5725
3.0833,61.0500,7.4666
3.2500,61.0500,7.3640
3.4167,61.0500,7.2690
3.5833,61.0500,7.1829
3.7500,61.0500,7.1067
3.9167,61.0500,7.0386
4.0833,61.0500,6.9778
4.2500,61.0500,6.9357
4.4167,61.0500,6.9017
4.5833,61.0500,6.8730
4.7500,61.0500,6.8473
4.9167,61.0500,6.8245
-2.5833,60.9500,8.3370
-2.4167,60.9500,8.3351
-2.2500,60.9500,8.3318
-2.0833,60.9500,8.3259
-1.9167,60.9500,8.3171
-1.7500,60.9500,8.3069
-1.5833,60.9500,8.2944
-1.4167,60.9500,8.2818
-1.2500,60.9500,8.2750
-1.0833,60.9500,8.2692
